time,Price,Volume
16/06/2009,74.050003,613600
17/06/2009,68.900002,474625
18/06/2009,63.200001,615442
19/06/2009,64,578932
22/06/2009,70.050003,932584
23/06/2009,74.300003,2467337
24/06/2009,72.650002,1501536
25/06/2009,70,418014
26/06/2009,70.650002,539544
29/06/2009,71.599998,407480
30/06/2009,67.650002,332122
1/7/2009,67.25,598458
2/7/2009,68.849998,424479
3/7/2009,67.949997,280811
6/7/2009,63.200001,0
7/7/2009,61.599998,305488
8/7/2009,57.599998,389321
9/7/2009,58.650002,310619
10/7/2009,58.549999,492575
13/07/2009,53.599998,232377
14/07/2009,60.650002,661669
15/07/2009,63.5,1610318
16/07/2009,60.5,603692
17/07/2009,63.349998,553610
20/07/2009,64.849998,876916
21/07/2009,64.199997,510094
22/07/2009,63,397703
23/07/2009,66.099998,515568
24/07/2009,68.449997,1634160
27/07/2009,67.25,582773
28/07/2009,68.150002,950559
29/07/2009,64.349998,911286
30/07/2009,62.650002,877686
31/07/2009,57.450001,3361922
3/8/2009,59.099998,1050521
4/8/2009,58.5,772076
5/8/2009,58.099998,675948
6/8/2009,57.75,1949123
7/8/2009,54.849998,742866
10/8/2009,53.25,677347
11/8/2009,51.099998,727699
12/8/2009,48.950001,1050883
13/08/2009,52.549999,1279213
14/08/2009,53.799999,962203
17/08/2009,50.849998,736547
18/08/2009,52,665414
19/08/2009,55.75,2313392
20/08/2009,55.75,2222465
21/08/2009,56.650002,1924573
24/08/2009,57.549999,1011041
25/08/2009,63,6756389
26/08/2009,67.449997,6687834
27/08/2009,66.150002,2385894
28/08/2009,63.950001,1923964
31/08/2009,62.599998,1784275
1/9/2009,61.049999,2887252
2/9/2009,60.799999,1055171
3/9/2009,61.400002,1826011
4/9/2009,62.349998,1521956
7/9/2009,64.800003,2536450
8/9/2009,70.199997,9872879
9/9/2009,71.849998,10320023
10/9/2009,69.5,3785955
11/9/2009,68,1531331
14/09/2009,66.199997,1884466
15/09/2009,67,1367099
16/09/2009,67.099998,1312419
17/09/2009,69.349998,4313551
18/09/2009,68.699997,3042327
22/09/2009,68.75,0
23/09/2009,74.5,11136006
24/09/2009,74.599998,8513316
25/09/2009,72.900002,1990603
29/09/2009,72.25,1079011
30/09/2009,72.199997,1679097
1/10/2009,71.849998,1482441
5/10/2009,70.150002,1053071
6/10/2009,67.449997,1612253
7/10/2009,67.800003,781158
8/10/2009,64.349998,1560462
9/10/2009,65,1423701
12/10/2009,65.5,794098
14/10/2009,66.699997,1312694
15/10/2009,66.099998,577263
16/10/2009,65.349998,575464
20/10/2009,70.75,6384419
21/10/2009,71.150002,4570711
22/10/2009,68.400002,1720702
23/10/2009,67.599998,1036560
26/10/2009,65.099998,882437
27/10/2009,61.25,958294
28/10/2009,60.099998,969315
29/10/2009,60.900002,1546453
30/10/2009,60.200001,960852
3/11/2009,53.950001,803119
4/11/2009,56.25,722084
5/11/2009,57.299999,711085
6/11/2009,58.5,666174
9/11/2009,58.950001,628463
10/11/2009,59.75,1202653
11/11/2009,60.700001,691419
12/11/2009,59.549999,790601
13/11/2009,58.799999,507064
16/11/2009,59.599998,448893
17/11/2009,60.25,1141241
18/11/2009,60.700001,1262243
19/11/2009,58.200001,964717
20/11/2009,59.049999,584474
23/11/2009,60.450001,689006
24/11/2009,58.799999,1128295
25/11/2009,59.049999,673594
26/11/2009,57.799999,428231
27/11/2009,55.349998,801542
30/11/2009,56.400002,513630
1/12/2009,56.900002,817286
2/12/2009,59,1083701
3/12/2009,60.25,2061413
4/12/2009,58.950001,733412
7/12/2009,58.400002,414503
8/12/2009,59.049999,490259
9/12/2009,59.849998,1251165
10/12/2009,60.450001,854354
11/12/2009,59.299999,854987
14/12/2009,59.599998,726977
15/12/2009,57.599998,446830
16/12/2009,58.299999,484724
17/12/2009,61.849998,4579659
18/12/2009,60.849998,2045533
21/12/2009,60.150002,764429
22/12/2009,61.599998,1233867
23/12/2009,61.75,846451
24/12/2009,61.849998,1441075
29/12/2009,62,1216928
30/12/2009,61.450001,512148
31/12/2009,60.75,621441
4/1/2010,61.599998,736543
5/1/2010,63.200001,2772587
6/1/2010,64.75,3501260
7/1/2010,63.299999,996495
8/1/2010,62.650002,853075
11/1/2010,63.200001,1001906
12/1/2010,63.5,3452284
13/01/2010,64.349998,1150160
14/01/2010,64.449997,1759878
15/01/2010,63.799999,734069
18/01/2010,63,697311
19/01/2010,61.900002,724161
20/01/2010,61.549999,546733
21/01/2010,59.799999,941454
22/01/2010,57.5,1496360
25/01/2010,56.450001,484471
27/01/2010,52.849998,687637
28/01/2010,52.299999,688449
29/01/2010,52.450001,674857
1/2/2010,53.599998,965889
2/2/2010,50.950001,923546
3/2/2010,51.049999,821078
4/2/2010,49.549999,799104
5/2/2010,47.549999,506162
8/2/2010,47.900002,523474
9/2/2010,48.650002,543906
10/2/2010,48.599998,533070
11/2/2010,48.349998,370421
15/02/2010,49.700001,1493649
16/02/2010,49,443821
17/02/2010,48.75,497797
18/02/2010,49.25,506984
19/02/2010,50.400002,2606395
22/02/2010,49.099998,909050
23/02/2010,47.650002,527200
24/02/2010,46.799999,406604
25/02/2010,46.450001,356023
26/02/2010,47.150002,509055
2/3/2010,47.549999,451333
3/3/2010,48.049999,613050
4/3/2010,48.400002,571038
5/3/2010,48.599998,711074
8/3/2010,48.950001,768584
9/3/2010,49.549999,2482687
10/3/2010,48.650002,703450
11/3/2010,48.400002,637818
12/3/2010,47.799999,460075
15/03/2010,46.950001,336323
16/03/2010,47.150002,458845
17/03/2010,46.950001,429487
18/03/2010,46.799999,384815
19/03/2010,46.849998,1048522
22/03/2010,45.650002,442873
23/03/2010,45.650002,438638
25/03/2010,47.450001,3877622
26/03/2010,46.599998,698253
29/03/2010,45.25,698732
30/03/2010,45.599998,507614
31/03/2010,45.049999,650343
1/4/2010,46.099998,614056
5/4/2010,46.549999,462657
6/4/2010,46.349998,478607
7/4/2010,46.25,595241
8/4/2010,46.950001,1777377
9/4/2010,46.700001,520333
12/4/2010,46.200001,485542
13/04/2010,46.349998,1020259
15/04/2010,46.200001,784207
16/04/2010,48.549999,4852809
19/04/2010,46.75,1134286
20/04/2010,46.599998,710399
21/04/2010,46.5,571173
22/04/2010,46.799999,1391619
23/04/2010,46.700001,713808
26/04/2010,46.299999,481713
27/04/2010,46.049999,330209
28/04/2010,44.599998,662714
29/04/2010,44.349998,705503
30/04/2010,44.75,513920
3/5/2010,44.299999,407173
4/5/2010,43.5,456337
5/5/2010,42.400002,538669
6/5/2010,42.75,446564
7/5/2010,41.150002,462290
10/5/2010,41.5,504055
11/5/2010,41.349998,316394
12/5/2010,40,616200
13/05/2010,39.900002,351520
14/05/2010,38.900002,1136846
17/05/2010,38.150002,401437
18/05/2010,38.200001,336196
19/05/2010,36.849998,486227
20/05/2010,39.099998,2539013
21/05/2010,37.549999,663550
24/05/2010,37.799999,438943
25/05/2010,36.150002,349723
26/05/2010,36.75,305966
27/05/2010,36.599998,227542
28/05/2010,37.150002,302178
31/05/2010,36.700001,188622
1/6/2010,36.150002,406351
2/6/2010,36.400002,461903
3/6/2010,37,660744
4/6/2010,37.900002,1723799
7/6/2010,36.25,496811
8/6/2010,35.75,376509
9/6/2010,35.5,343212
10/6/2010,35.549999,289665
11/6/2010,35.5,373677
14/06/2010,35.700001,324595
15/06/2010,36.049999,485721
16/06/2010,36.349998,635901
17/06/2010,36.400002,322161
18/06/2010,35.849998,359004
21/06/2010,36,301560
22/06/2010,35.650002,278585
23/06/2010,36.849998,853947
24/06/2010,37.5,1292052
25/06/2010,36.950001,598507
28/06/2010,37.349998,324652
29/06/2010,36.599998,307259
30/06/2010,36.049999,358341
1/7/2010,36.400002,269449
2/7/2010,36.049999,277551
5/7/2010,35.75,229304
6/7/2010,36.049999,264197
7/7/2010,35.900002,267421
8/7/2010,36.049999,320317
9/7/2010,36.599998,810354
12/7/2010,36.299999,266874
13/07/2010,36.799999,391101
14/07/2010,36.349998,358719
15/07/2010,35.950001,221712
16/07/2010,35.650002,261058
19/07/2010,35.400002,237233
20/07/2010,35.150002,224494
21/07/2010,35.150002,226517
22/07/2010,35.200001,206248
23/07/2010,34.799999,273819
26/07/2010,34.049999,221989
27/07/2010,34.099998,421168
28/07/2010,33.799999,218799
29/07/2010,31.65,1173323
30/07/2010,30.950001,742251
2/8/2010,31.049999,897740
3/8/2010,30.1,880710
4/8/2010,28.950001,1276049
5/8/2010,28.6,1108124
6/8/2010,30.25,2716805
9/8/2010,30.6,634216
10/8/2010,30.450001,549186
11/8/2010,29.200001,833006
12/8/2010,29,596441
13/08/2010,28.700001,824271
16/08/2010,27.049999,1242259
17/08/2010,26.799999,1395509
18/08/2010,25.15,2130053
19/08/2010,24.700001,1574717
20/08/2010,25.299999,1666765
23/08/2010,25.35,614981
24/08/2010,25.200001,455127
25/08/2010,24.549999,492835
26/08/2010,24.1,708340
27/08/2010,23.15,675763
30/08/2010,23,1070372
31/08/2010,22.75,705838
1/9/2010,22.25,1062394
2/9/2010,23.549999,3691793
3/9/2010,23.25,1272087
6/9/2010,23.299999,1163259
7/9/2010,23.549999,554044
8/9/2010,25.25,3457707
9/9/2010,25.1,1209306
13/09/2010,24.35,938268
14/09/2010,24.299999,773750
15/09/2010,24.5,547193
16/09/2010,24,461370
17/09/2010,24.049999,480297
20/09/2010,24.549999,610078
21/09/2010,24,489407
22/09/2010,23.85,523297
23/09/2010,24,924964
24/09/2010,24.1,373506
27/09/2010,24.35,443325
28/09/2010,29.25,10198660
29/09/2010,30.75,15616190
30/09/2010,29.799999,3572983
1/10/2010,29.049999,1637108
4/10/2010,28.85,1588370
5/10/2010,28.549999,842297
6/10/2010,28.299999,1156397
7/10/2010,29.200001,3629644
8/10/2010,28.75,968711
11/10/2010,28.549999,623119
12/10/2010,27.85,508155
13/10/2010,28.299999,386601
14/10/2010,28.049999,500823
15/10/2010,27.450001,612480
18/10/2010,26.9,421189
19/10/2010,28.4,1673198
20/10/2010,28.75,2796963
21/10/2010,27.75,1142668
22/10/2010,26.950001,897064
25/10/2010,26.799999,543410
26/10/2010,26.700001,683294
27/10/2010,26.700001,450091
28/10/2010,26.6,445171
29/10/2010,25.799999,408310
1/11/2010,25.9,256691
2/11/2010,25.6,247188
3/11/2010,25.75,435902
4/11/2010,25.65,296442
5/11/2010,26,133170
